"id","product_code","product_name","description","standard_cost","list_price","target_level","reorder_level","minimum_reorder_quantity","quantity_per_unit","discontinued","category","change_date"
601,P1,Nikkon DS90,,67.0900,23.3900,75,67,12,"50",1,Camera,2016-05-01
602,P2,Canon T90,,82.8300,93.8400,92,76,92,"56",0,Camera,2016-05-01
603,P3,Dell Inspirion,,82.8300,93.8400,92,76,92,"56",0,Laptop,2016-05-01
604,P4,iPad Air,,82.8300,93.8400,92,76,92,"56",0,Tablet,2016-05-01
605,P5,Microsft Surface,,82.8300,93.8400,92,76,92,"56",0,Tablet,2016-05-01
606,P6,Nexus 6,,33.8800,11.7000,71,16,96,"79",1,Phone,2016-05-01
607,P7,ThinkPad T365,,41.0200,8.9800,22,42,54,"92",1,Laptop,2016-05-01
608,P8,Moto Play,,38.4400,62.3400,65,4,40,"54",1,Phone,2016-05-01
609,P9,Samasung Note,,47.5800,81.8300,53,55,24,"58",1,Tablet,2016-05-01
610,P10,MacBook Pro,,25.8100,76.6100,11,44,43,"11",1,Laptop,2016-05-01
